Ticket ID,Ticket Subject,Ticket Description,Ticket Type,Ticket Priority,Ticket Channel
29,Integration with third-party tool broken,I keep getting a server error when I try to log in with my correct credentials. I have tried resetting my password twice.,Technical issue,Critical,Chat
30,Subscription renewed at wrong price,"Can you clarify exactly when my billing cycle starts and ends each month, the dates seem inconsistent.",Billing inquiry,High,Chat
31,"Duplicate charge, please refund immediately","The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,Critical,Chat
32,"Duplicate charge, please refund immediately","I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,High,Social media
33,Sync feature not working,"The sync between my desktop and mobile app stopped working two days ago, my data is not updating.",Technical issue,Low,Email
34,Does this support multiple users,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Low,Email
35,Charged twice for the same subscription,"My card was charged twice for the same monthly subscription, I would like to understand why and get this corrected.",Billing inquiry,High,Email
36,Does this support multiple users,"I'm evaluating your enterprise features for my team, could you share more details on SSO support.",Product inquiry,Medium,Chat
37,Does this support multiple users,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Low,Social media
38,How do I cancel my plan,"I would like to cancel my subscription effective immediately, please confirm once this is done.",Cancellation request,Low,Social media
39,"Duplicate charge, please refund immediately","I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,High,Email
40,App keeps crashing on launch,The mobile app is stuck on the loading screen and never gets past it no matter how many times I restart it.,Technical issue,High,Email
41,Question about my last invoice,"I have a question about a line item on my latest invoice, it doesn't match what I was quoted at signup.",Billing inquiry,Medium,Chat
42,How do I cancel my plan,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Medium,Email
43,Want to cancel my subscription,"I would like to cancel my subscription effective immediately, please confirm once this is done.",Cancellation request,Medium,Email
44,Sync feature not working,The dashboard fails to load and shows a 500 internal server error whenever I try to view my reports.,Technical issue,Medium,Social media
45,Need clarification on billing cycle,"My card was charged twice for the same monthly subscription, I would like to understand why and get this corrected.",Billing inquiry,Low,Email
46,Please cancel my account,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Low,Social media
47,Question about my last invoice,"There is a charge on my card from your company that I do not recognize, can you explain what it is for.",Billing inquiry,Medium,Email
48,Question about upgrading my plan,"I'm evaluating your enterprise features for my team, could you share more details on SSO support.",Product inquiry,Low,Social media
49,Does this support multiple users,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,High,Email
50,Charged twice for the same subscription,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,Low,Chat
51,Want to cancel my subscription,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,Medium,Email
52,Question about upgrading my plan,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Medium,Phone
53,"Product did not work as advertised, want refund","I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,Medium,Social media
54,Subscription renewed at wrong price,"My subscription renewed at a higher price than what I originally signed up for, please explain the increase.",Billing inquiry,Medium,Phone
55,App keeps crashing on launch,"Our Zapier integration stopped passing data through after your latest release, nothing shows up on the other end.",Technical issue,High,Email
56,Sync feature not working,"The software freezes at 80 percent every time I try to export a large file, I have to force close it.",Technical issue,Low,Phone
57,Sync feature not working,"I cannot connect to your server from my office network, but it works fine on my home wifi.",Technical issue,Medium,Social media
58,Asking about enterprise features,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Medium,Phone
59,Website is throwing a 500 error,"The software freezes at 80 percent every time I try to export a large file, I have to force close it.",Technical issue,Low,Email
60,Does this support multiple users,"I'm evaluating your enterprise features for my team, could you share more details on SSO support.",Product inquiry,Low,Chat
61,"Product did not work as advertised, want refund","I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,High,Phone
62,Unable to log into my account,The mobile app is stuck on the loading screen and never gets past it no matter how many times I restart it.,Technical issue,High,Email
63,Cannot connect to the server,The dashboard fails to load and shows a 500 internal server error whenever I try to view my reports.,Technical issue,High,Phone
64,Subscription renewed at wrong price,"Can you clarify exactly when my billing cycle starts and ends each month, the dates seem inconsistent.",Billing inquiry,Medium,Social media
65,Question about upgrading my plan,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Low,Chat
66,Question about upgrading my plan,"I'm evaluating your enterprise features for my team, could you share more details on SSO support.",Product inquiry,Medium,Chat
67,How do I cancel my plan,"I would like to cancel my subscription effective immediately, please confirm once this is done.",Cancellation request,Low,Email
68,"Product did not work as advertised, want refund","The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,High,Phone
69,Comparing plan tiers,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,High,Chat
70,Question about my last invoice,"Can you clarify exactly when my billing cycle starts and ends each month, the dates seem inconsistent.",Billing inquiry,Low,Phone
71,How do I cancel my plan,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Low,Email
72,Want to cancel my subscription,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Low,Social media
73,Refund needed for accidental purchase,"The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,Medium,Chat
74,Please cancel my account,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,High,Phone
75,"Duplicate charge, please refund immediately","I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,Critical,Email
76,"Product did not work as advertised, want refund","I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,Low,Social media
77,Refund needed for accidental purchase,"I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,High,Email
78,How do I cancel my plan,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Low,Social media
79,Sync feature not working,"I cannot connect to your server from my office network, but it works fine on my home wifi.",Technical issue,Medium,Phone
80,Asking about enterprise features,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Medium,Phone
81,Asking about enterprise features,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Low,Phone
82,Does this support multiple users,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Low,Social media
83,Invoice total does not match plan price,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,Medium,Email
84,Refund needed for accidental purchase,"The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,High,Phone
85,Cancelling due to lack of use,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Medium,Social media
86,Subscription renewed at wrong price,"My card was charged twice for the same monthly subscription, I would like to understand why and get this corrected.",Billing inquiry,Medium,Phone
87,Sync feature not working,"The software freezes at 80 percent every time I try to export a large file, I have to force close it.",Technical issue,Medium,Chat
88,Charged twice for the same subscription,"My card was charged twice for the same monthly subscription, I would like to understand why and get this corrected.",Billing inquiry,Medium,Social media
89,Question about upgrading my plan,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Low,Chat
90,Cancelling due to lack of use,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Low,Email
91,Mobile app stuck on loading screen,"The sync between my desktop and mobile app stopped working two days ago, my data is not updating.",Technical issue,Medium,Social media
92,Sync feature not working,I keep getting a server error when I try to log in with my correct credentials. I have tried resetting my password twice.,Technical issue,Medium,Social media
93,Asking about enterprise features,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Medium,Social media
94,Comparing plan tiers,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Medium,Social media
95,Please cancel my account,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,High,Phone
96,Comparing plan tiers,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Low,Email
97,"Product did not work as advertised, want refund","I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,Medium,Email
98,Question about my last invoice,"I have a question about a line item on my latest invoice, it doesn't match what I was quoted at signup.",Billing inquiry,Medium,Chat
99,Charged twice for the same subscription,"Can you clarify exactly when my billing cycle starts and ends each month, the dates seem inconsistent.",Billing inquiry,Medium,Social media
100,Want to cancel my subscription,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,High,Social media
101,Question about upgrading my plan,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Low,Phone
102,"Duplicate charge, please refund immediately","I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,High,Chat
103,How do I cancel my plan,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Medium,Email
104,Please cancel my account,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Medium,Social media
105,Invoice total does not match plan price,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,Low,Social media
106,Question about upgrading my plan,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Medium,Chat
107,How do I cancel my plan,"I would like to cancel my subscription effective immediately, please confirm once this is done.",Cancellation request,Low,Phone
108,Need clarification on billing cycle,"There is a charge on my card from your company that I do not recognize, can you explain what it is for.",Billing inquiry,Medium,Social media
109,"Duplicate charge, please refund immediately","I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,High,Social media
110,App keeps crashing on launch,"I cannot connect to your server from my office network, but it works fine on my home wifi.",Technical issue,Medium,Email
111,App keeps crashing on launch,"The sync between my desktop and mobile app stopped working two days ago, my data is not updating.",Technical issue,Medium,Email
112,Does this support multiple users,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Low,Email
113,Does this support multiple users,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Medium,Phone
114,Invoice total does not match plan price,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,Critical,Email
115,Unexpected charge on my card,"My card was charged twice for the same monthly subscription, I would like to understand why and get this corrected.",Billing inquiry,Medium,Phone
116,Comparing plan tiers,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,High,Chat
117,Sync feature not working,I keep getting a server error when I try to log in with my correct credentials. I have tried resetting my password twice.,Technical issue,High,Phone
118,Question about upgrading my plan,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Low,Social media
119,Requesting a refund for last month,"I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,Low,Social media
120,Want to cancel my subscription,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Critical,Social media
121,Need clarification on billing cycle,"I have a question about a line item on my latest invoice, it doesn't match what I was quoted at signup.",Billing inquiry,High,Phone
122,Comparing plan tiers,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Low,Phone
123,"Product did not work as advertised, want refund",I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,Medium,Social media
124,Need clarification on billing cycle,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,Medium,Social media
125,Requesting a refund for last month,"I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,Critical,Chat
126,How do I cancel my plan,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,High,Phone
127,Refund needed for accidental purchase,I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,High,Chat
128,Sync feature not working,The mobile app is stuck on the loading screen and never gets past it no matter how many times I restart it.,Technical issue,Medium,Chat
129,Cancelling due to lack of use,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,High,Email
130,"Product did not work as advertised, want refund","I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,High,Phone
131,Asking about enterprise features,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Medium,Phone
132,Please cancel my account,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Medium,Phone
133,Refund needed for accidental purchase,"The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,Medium,Chat
134,Requesting a refund for last month,"The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,Medium,Social media
135,Refund needed for accidental purchase,I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,High,Phone
136,Unexpected charge on my card,"I have a question about a line item on my latest invoice, it doesn't match what I was quoted at signup.",Billing inquiry,Medium,Chat
137,Requesting a refund for last month,I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,High,Chat
138,Want to cancel my subscription,"I would like to cancel my subscription effective immediately, please confirm once this is done.",Cancellation request,Medium,Social media
139,Cancelling due to lack of use,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Low,Email
140,"Duplicate charge, please refund immediately",I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,High,Social media
141,Want to cancel my subscription,"I would like to cancel my subscription effective immediately, please confirm once this is done.",Cancellation request,Low,Phone
142,Sync feature not working,I keep getting a server error when I try to log in with my correct credentials. I have tried resetting my password twice.,Technical issue,High,Social media
143,Does this support multiple users,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Low,Social media
144,"Duplicate charge, please refund immediately","I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,High,Email
145,Question about upgrading my plan,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Medium,Phone
146,Website is throwing a 500 error,"The sync between my desktop and mobile app stopped working two days ago, my data is not updating.",Technical issue,Medium,Email
147,Charged twice for the same subscription,"Can you clarify exactly when my billing cycle starts and ends each month, the dates seem inconsistent.",Billing inquiry,Medium,Social media
148,Requesting a refund for last month,"The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,Medium,Phone
149,Want to cancel my subscription,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,High,Chat
150,Want to cancel my subscription,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,Medium,Phone
151,Charged twice for the same subscription,"My card was charged twice for the same monthly subscription, I would like to understand why and get this corrected.",Billing inquiry,Low,Phone
152,Asking about enterprise features,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Low,Phone
153,Please cancel my account,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Medium,Email
154,Please cancel my account,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Low,Chat
155,Question about upgrading my plan,"I'm evaluating your enterprise features for my team, could you share more details on SSO support.",Product inquiry,Medium,Chat
156,Cancelling due to lack of use,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Low,Social media
157,Want to cancel my subscription,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Low,Phone
158,Requesting a refund for last month,"The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,Medium,Social media
159,"Duplicate charge, please refund immediately",I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,High,Phone
160,Refund needed for accidental purchase,I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,Critical,Social media
161,Question about upgrading my plan,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Low,Chat
162,Asking about enterprise features,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Medium,Email
163,Unexpected charge on my card,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,Low,Phone
164,Cancelling due to lack of use,"I would like to cancel my subscription effective immediately, please confirm once this is done.",Cancellation request,Low,Chat
165,Unexpected charge on my card,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,Low,Social media
166,Sync feature not working,I keep getting a server error when I try to log in with my correct credentials. I have tried resetting my password twice.,Technical issue,Medium,Email
167,Need clarification on billing cycle,"My subscription renewed at a higher price than what I originally signed up for, please explain the increase.",Billing inquiry,Medium,Phone
168,Cancelling due to lack of use,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Low,Chat
169,How do I cancel my plan,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,High,Phone
170,Please cancel my account,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,High,Phone
171,"Duplicate charge, please refund immediately","The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,High,Social media
172,Refund needed for accidental purchase,"I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,High,Phone
173,Subscription renewed at wrong price,"I have a question about a line item on my latest invoice, it doesn't match what I was quoted at signup.",Billing inquiry,Medium,Chat
174,Want to cancel my subscription,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Medium,Social media
175,How do I cancel my plan,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Critical,Chat
176,Asking about enterprise features,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,High,Social media
177,Integration with third-party tool broken,"Every time I open the app it crashes immediately, even after reinstalling. This started after the last update.",Technical issue,High,Social media
178,Charged twice for the same subscription,"Can you clarify exactly when my billing cycle starts and ends each month, the dates seem inconsistent.",Billing inquiry,High,Phone
179,"Duplicate charge, please refund immediately",I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,Critical,Social media
180,"Duplicate charge, please refund immediately",I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,High,Chat
181,"Product did not work as advertised, want refund",I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,High,Email
182,Integration with third-party tool broken,The dashboard fails to load and shows a 500 internal server error whenever I try to view my reports.,Technical issue,High,Email
183,Cannot connect to the server,"Every time I open the app it crashes immediately, even after reinstalling. This started after the last update.",Technical issue,Medium,Phone
184,How do I cancel my plan,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,Medium,Chat
185,Question about my last invoice,"My card was charged twice for the same monthly subscription, I would like to understand why and get this corrected.",Billing inquiry,Medium,Social media
186,Does this support multiple users,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,High,Chat
187,Need clarification on billing cycle,"My subscription renewed at a higher price than what I originally signed up for, please explain the increase.",Billing inquiry,Medium,Phone
188,Integration with third-party tool broken,"The software freezes at 80 percent every time I try to export a large file, I have to force close it.",Technical issue,High,Chat
189,Integration with third-party tool broken,"I cannot connect to your server from my office network, but it works fine on my home wifi.",Technical issue,Critical,Phone
190,Please cancel my account,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,High,Chat
191,Cancelling due to lack of use,"I would like to cancel my subscription effective immediately, please confirm once this is done.",Cancellation request,Low,Phone
192,Asking about enterprise features,"I'm evaluating your enterprise features for my team, could you share more details on SSO support.",Product inquiry,Low,Social media
193,Requesting a refund for last month,I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,Critical,Social media
194,"Product did not work as advertised, want refund","I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,Medium,Chat
195,Asking about enterprise features,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Medium,Email
196,"Duplicate charge, please refund immediately",I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,High,Chat
197,Software freezes during export,"I cannot connect to your server from my office network, but it works fine on my home wifi.",Technical issue,High,Chat
198,Question about my last invoice,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,High,Phone
199,Asking about enterprise features,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Low,Social media
200,Refund needed for accidental purchase,I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,High,Email
201,Question about my last invoice,"My subscription renewed at a higher price than what I originally signed up for, please explain the increase.",Billing inquiry,High,Social media
202,Asking about enterprise features,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Medium,Email
203,Requesting a refund for last month,"I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,Medium,Phone
204,Comparing plan tiers,"I'm evaluating your enterprise features for my team, could you share more details on SSO support.",Product inquiry,Low,Chat
205,Want to cancel my subscription,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,High,Chat
206,Integration with third-party tool broken,"The software freezes at 80 percent every time I try to export a large file, I have to force close it.",Technical issue,High,Email
207,Charged twice for the same subscription,"My card was charged twice for the same monthly subscription, I would like to understand why and get this corrected.",Billing inquiry,Medium,Social media
208,Unable to log into my account,"The sync between my desktop and mobile app stopped working two days ago, my data is not updating.",Technical issue,Critical,Chat
209,Cancelling due to lack of use,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Medium,Social media
210,Does this support multiple users,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Medium,Social media
211,Comparing plan tiers,"I'm evaluating your enterprise features for my team, could you share more details on SSO support.",Product inquiry,Low,Phone
212,Need clarification on billing cycle,"Can you clarify exactly when my billing cycle starts and ends each month, the dates seem inconsistent.",Billing inquiry,Critical,Phone
213,Cannot connect to the server,"I cannot connect to your server from my office network, but it works fine on my home wifi.",Technical issue,Low,Phone
214,Charged twice for the same subscription,"Can you clarify exactly when my billing cycle starts and ends each month, the dates seem inconsistent.",Billing inquiry,Low,Chat
215,Question about upgrading my plan,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Medium,Chat
216,Invoice total does not match plan price,"I have a question about a line item on my latest invoice, it doesn't match what I was quoted at signup.",Billing inquiry,Low,Chat
217,Does this support multiple users,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Low,Chat
218,Question about upgrading my plan,"I'm evaluating your enterprise features for my team, could you share more details on SSO support.",Product inquiry,High,Chat
219,Invoice total does not match plan price,"There is a charge on my card from your company that I do not recognize, can you explain what it is for.",Billing inquiry,High,Email
220,Website is throwing a 500 error,"Every time I open the app it crashes immediately, even after reinstalling. This started after the last update.",Technical issue,Medium,Chat
221,Asking about enterprise features,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Low,Email
222,Subscription renewed at wrong price,"Can you clarify exactly when my billing cycle starts and ends each month, the dates seem inconsistent.",Billing inquiry,Medium,Email
223,Cancelling due to lack of use,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Medium,Email
224,How do I cancel my plan,"I would like to cancel my subscription effective immediately, please confirm once this is done.",Cancellation request,Medium,Phone
225,Want to cancel my subscription,"I would like to cancel my subscription effective immediately, please confirm once this is done.",Cancellation request,Critical,Social media
226,Want to cancel my subscription,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Medium,Social media
227,Unable to log into my account,"I cannot connect to your server from my office network, but it works fine on my home wifi.",Technical issue,High,Email
228,Unexpected charge on my card,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,Medium,Phone
229,Please cancel my account,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Medium,Social media
230,Unable to log into my account,"The sync between my desktop and mobile app stopped working two days ago, my data is not updating.",Technical issue,Medium,Chat
231,Please cancel my account,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Medium,Email
232,"Duplicate charge, please refund immediately","I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,High,Phone
233,Subscription renewed at wrong price,"Can you clarify exactly when my billing cycle starts and ends each month, the dates seem inconsistent.",Billing inquiry,Low,Email
234,Mobile app stuck on loading screen,I keep getting a server error when I try to log in with my correct credentials. I have tried resetting my password twice.,Technical issue,High,Phone
235,Invoice total does not match plan price,"My card was charged twice for the same monthly subscription, I would like to understand why and get this corrected.",Billing inquiry,Medium,Phone
236,Mobile app stuck on loading screen,"I cannot connect to your server from my office network, but it works fine on my home wifi.",Technical issue,Critical,Social media
237,Software freezes during export,"The software freezes at 80 percent every time I try to export a large file, I have to force close it.",Technical issue,Medium,Chat
238,Subscription renewed at wrong price,"Can you clarify exactly when my billing cycle starts and ends each month, the dates seem inconsistent.",Billing inquiry,Medium,Email
239,Refund needed for accidental purchase,I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,High,Chat
240,Want to cancel my subscription,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Low,Phone
241,Refund needed for accidental purchase,"I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,Low,Chat
242,Comparing plan tiers,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Low,Email
243,Sync feature not working,The mobile app is stuck on the loading screen and never gets past it no matter how many times I restart it.,Technical issue,Medium,Phone
244,Unexpected charge on my card,"There is a charge on my card from your company that I do not recognize, can you explain what it is for.",Billing inquiry,High,Email
245,Website is throwing a 500 error,The dashboard fails to load and shows a 500 internal server error whenever I try to view my reports.,Technical issue,High,Email
